brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,graphic_card_gb,Touchscreen,msoffice,rating,Price
HP,Intel,Core i3,11,4,DDR4,256,0,Windows,0,No,Yes,4,42490
Lenovo,Intel,Core i3,10,4,DDR4,256,0,Windows,0,No,No,3,41990
ASUS,Intel,Core i3,11,4,DDR4,256,0,Windows,0,No,No,3,48490
HP,Intel,Core i3,11,4,DDR4,256,0,Windows,0,No,Yes,4,44376
DELL,Intel,Core i3,11,4,DDR4,256,0,Windows,0,No,No,3,43900
DELL,Intel,Core i3,11,4,DDR4,256,0,Windows,0,No,No,3,46690
Lenovo,Intel,Core i3,10,4,DDR4,256,0,Windows,0,No,No,5,40990
DELL,Intel,Core i3,10,4,DDR4,256,0,Windows,0,No,No,4,39990
Lenovo,Intel,Core i3,11,4,DDR4,256,0,Windows,0,No,No,3,43990
ASUS,Intel,Core i3,11,4,DDR4,256,0,Windows,0,No,No,4,36990
DELL,Intel,Core i3,11,8,DDR4,256,0,Windows,0,No,No,3,48500
ASUS,Intel,Core i3,11,8,DDR4,256,0,Windows,0,No,No,3,48990
ASUS,Intel,Celeron Dual,11,4,LPDDR4,0,512,Windows,0,No,No,4,23490
HP,Intel,Core i3,8,4,DDR4,256,0,Windows,0,Yes,Yes,4,54238
ASUS,Intel,Core i3,10,8,DDR4,512,0,Windows,0,No,No,4,37990
HP,Intel,Core i3,11,8,DDR4,512,0,Windows,0,No,Yes,4,42990
HP,Intel,Core i3,11,8,DDR4,512,0,Windows,0,No,Yes,4,42990
ASUS,Intel,Core i3,10,4,DDR4,512,0,Windows,0,No,No,4,35990
ASUS,Intel,Core i3,11,8,DDR4,512,0,Windows,0,No,No,4,42990
ASUS,Intel,Core i3,11,8,LPDDR4X,512,0,Windows,0,Yes,Yes,4,51990
ASUS,Intel,Core i3,11,8,DDR4,512,0,Windows,0,No,No,4,48990
ASUS,Intel,Core i3,11,8,DDR4,512,0,Windows,0,No,No,4,42990
